"call","URL for call","col1"
"call to fopen","file:///opt/src/catgets/gencat.c:1022:9:1022:13","call to fopen"
"call to fopen","file:///opt/src/catgets/gencat.c:284:10:284:14","call to fopen"
"call to fopen","file:///opt/src/elf/ldconfig.c:1070:9:1070:13","call to fopen"
"call to fopen","file:///opt/src/elf/ldconfig.c:1077:14:1077:18","call to fopen"
"call to fopen","file:///opt/src/elf/readlib.c:91:10:91:14","call to fopen"
"call to fopen","file:///opt/src/elf/sln.c:94:12:94:16","call to fopen"
"call to fopen","file:///opt/src/hesiod/hesiod.c:258:13:258:17","call to fopen"
"call to _IO_new_fopen","file:///opt/src/iconv/gconv_conf.c:369:14:369:36","call to fopen"
"call to fopen","file:///opt/src/iconv/iconv_charmap.c:139:16:139:20","call to fopen"
"call to fopen","file:///opt/src/iconv/iconv_prog.c:443:14:443:18","call to fopen"
"call to fopen","file:///opt/src/iconv/iconvconfig.c:672:8:672:12","call to fopen"
"call to iruserfopen","file:///opt/src/inet/rcmd.c:528:13:528:23","call to fopen"
"call to iruserfopen","file:///opt/src/inet/rcmd.c:562:16:562:26","call to fopen"
"call to _IO_new_fopen","file:///opt/src/inet/rcmd.c:483:13:483:31","call to fopen"
"call to _IO_new_fopen","file:///opt/src/inet/ruserpass.c:112:10:112:26","call to fopen"
"call to _IO_new_fopen","file:///opt/src/intl/localealias.c:229:8:229:43","call to fopen"
"call to _IO_file_fopen","file:///opt/src/libio/freopen.c:75:16:75:29","call to fopen"
"call to _IO_file_fopen","file:///opt/src/libio/freopen.c:75:16:75:29","call to fopen"
"call to _IO_file_fopen","file:///opt/src/libio/freopen64.c:59:12:59:25","call to fopen"
"call to _IO_file_fopen","file:///opt/src/libio/iofopen.c:75:7:75:20","call to fopen"
"call to fopen","file:///opt/src/locale/programs/charmap-dir.c:223:12:223:16","call to fopen"
"call to fopen","file:///opt/src/locale/programs/linereader.c:58:12:58:16","call to fopen"
"call to fopen","file:///opt/src/locale/programs/locale.c:531:12:531:16","call to fopen"
"call to fopen","file:///opt/src/locale/programs/locarchive.c:1201:12:1201:16","call to fopen"
"call to fopen","file:///opt/src/malloc/memusagestat.c:505:13:505:17","call to fopen"
"call to _IO_new_fopen","file:///opt/src/malloc/mtrace.c:301:20:301:75","call to fopen"
"call to _IO_new_fopen","file:///opt/src/misc/getpass.c:58:8:58:33","call to fopen"
"call to _IO_new_fopen","file:///opt/src/misc/getttyent.c:190:19:190:42","call to fopen"
"call to _IO_new_fopen","file:///opt/src/misc/getusershell.c:107:12:107:37","call to fopen"
"call to _IO_new_fopen","file:///opt/src/misc/mntent_r.c:43:18:43:38","call to fopen"
"call to fopen","file:///opt/src/nis/nis_file.c:62:15:62:19","call to fopen"
"call to fopen","file:///opt/src/nis/nis_file.c:34:14:34:18","call to fopen"
"call to fopen","file:///opt/src/nptl/pthread_getattr_np.c:81:18:81:22","call to fopen"
"call to fopen","file:///opt/src/nptl/pthread_getattr_np.c:81:18:81:22","call to fopen"
"call to fopen","file:///opt/src/sysdeps/posix/getaddrinfo.c:1795:14:1795:18","call to fopen"
"call to fopen","file:///opt/src/nscd/nscd.c:607:8:607:12","call to fopen"
"call to fopen","file:///opt/src/nscd/nscd.c:580:8:580:12","call to fopen"
"call to fopen","file:///opt/src/nscd/nscd_conf.c:68:8:68:12","call to fopen"
"call to fopen","file:///opt/src/resolv/res_hconf.c:281:8:281:12","call to fopen"
"call to fopen","file:///opt/src/nss/nss_compat/compat-grp.c:109:21:109:25","call to fopen"
"call to fopen","file:///opt/src/nss/nss_compat/compat-initgroups.c:124:17:124:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_compat/compat-pwd.c:224:21:224:25","call to fopen"
"call to fopen","file:///opt/src/nss/nss_compat/compat-spwd.c:180:21:180:25","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-alias.c:216:20:216:24","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-alias.c:50:17:50:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-initgroups.c:34:18:34:22","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-key.c:33:18:33:22","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-netgrp.c:65:8:65:12","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to fopen","file:///opt/src/nss/nss_files/files-XXX.c:77:17:77:21","call to fopen"
"call to _IO_new_fopen","file:///opt/src/nss/nsswitch.c:551:8:551:27","call to fopen"
"call to fopen","file:///opt/src/resolv/compat-gethnamaddr.c:718:26:718:30","call to fopen"
"call to fopen","file:///opt/src/resolv/compat-gethnamaddr.c:694:11:694:15","call to fopen"
"call to _IO_new_fopen","file:///opt/src/resolv/res_hconf.c:281:8:281:32","call to fopen"
"call to _IO_new_fopen","file:///opt/src/resolv/res_init.c:558:14:558:41","call to fopen"
"call to fopen","file:///opt/src/resolv/res_query.c:649:28:649:32","call to fopen"
"call to fopen","file:///opt/src/support/shell-container.c:354:13:354:17","call to fopen"
"call to fopen","file:///opt/src/support/support_test_main.c:320:17:320:21","call to fopen"
"call to fopen","file:///opt/src/support/test-container.c:826:15:826:19","call to fopen"
"call to fopen","file:///opt/src/support/test-container.c:835:6:835:10","call to fopen"
"call to fopen","file:///opt/src/support/test-container.c:633:7:633:11","call to fopen"
"call to fopen","file:///opt/src/support/test-container.c:648:7:648:11","call to fopen"
"call to fopen","file:///opt/src/support/xfopen.c:27:14:27:18","call to fopen"
"call to _IO_new_fopen","file:///opt/src/sysdeps/posix/getaddrinfo.c:1795:14:1795:41","call to fopen"
"call to _IO_new_fopen","file:///opt/src/sysdeps/unix/sysv/linux/readonly-area.c:34:14:34:45","call to fopen"
"call to _IO_new_fopen","file:///opt/src/time/getdate.c:134:8:134:29","call to fopen"
"call to _IO_new_fopen","file:///opt/src/time/tzfile.c:162:7:162:25","call to fopen"
"call to fopen","file:///opt/src/timezone/zic.c:1880:7:1880:11","call to fopen"
"call to fopen","file:///opt/src/timezone/zic.c:1885:11:1885:15","call to fopen"
"call to fopen","file:///opt/src/timezone/zic.c:1103:19:1103:23","call to fopen"
"call to fopen","file:///opt/src/timezone/zic.c:936:11:936:15","call to fopen"
"call to fopen","file:///opt/src/timezone/zic.c:943:11:943:15","call to fopen"
