"dollarCall","URL for dollarCall"
"$(funct ... \n  }\n})","file:///opt/src/docs/_includes/getting-started/browser-device-support.html:222:1:228:2"
"$('sele ... ntrol')","file:///opt/src/docs/_includes/getting-started/browser-device-support.html:226:5:226:28"
"$('#myButton')","file:///opt/src/docs/_includes/js/buttons.html:29:3:29:16"
"$(this)","file:///opt/src/docs/_includes/js/buttons.html:30:16:30:22"
"$('#myStateButton')","file:///opt/src/docs/_includes/js/buttons.html:134:3:134:21"
"$(this)","file:///opt/src/docs/_includes/js/buttons.html:135:5:135:11"
"$(funct ... )\n\n  })","file:///opt/src/docs/assets/js/src/application.js:17:3:174:4"
"$(window)","file:///opt/src/docs/assets/js/src/application.js:20:19:20:27"
"$(document.body)","file:///opt/src/docs/assets/js/src/application.js:21:19:21:34"
"$('.bs- ... =""#""]')","file:///opt/src/docs/assets/js/src/application.js:31:5:31:38"
"$('.bs- ... debar')","file:///opt/src/docs/assets/js/src/application.js:37:22:37:42"
"$('.bs-docs-nav')","file:///opt/src/docs/assets/js/src/application.js:44:34:44:50"
"$('.bs-docs-footer')","file:///opt/src/docs/assets/js/src/application.js:49:35:49:54"
"$('.bs-top')","file:///opt/src/docs/assets/js/src/application.js:56:7:56:18"
"$('#bs- ... sheet')","file:///opt/src/docs/assets/js/src/application.js:61:29:61:53"
"$('.bs- ... oggle')","file:///opt/src/docs/assets/js/src/application.js:62:23:62:48"
"$('.tooltip-demo')","file:///opt/src/docs/assets/js/src/application.js:87:5:87:22"
"$('.popover-demo')","file:///opt/src/docs/assets/js/src/application.js:91:5:91:22"
"$('.tooltip-test')","file:///opt/src/docs/assets/js/src/application.js:97:5:97:22"
"$('.popover-test')","file:///opt/src/docs/assets/js/src/application.js:98:5:98:22"
"$('.bs- ... pover')","file:///opt/src/docs/assets/js/src/application.js:101:5:101:25"
"$('#loa ... e-btn')","file:///opt/src/docs/assets/js/src/application.js:104:5:104:29"
"$(this)","file:///opt/src/docs/assets/js/src/application.js:105:18:105:24"
"$('#exampleModal')","file:///opt/src/docs/assets/js/src/application.js:113:5:113:22"
"$(event ... Target)","file:///opt/src/docs/assets/js/src/application.js:114:21:114:42"
"$(this)","file:///opt/src/docs/assets/js/src/application.js:118:20:118:26"
"$('.bs- ... ssbar')","file:///opt/src/docs/assets/js/src/application.js:124:5:124:47"
"$(this)","file:///opt/src/docs/assets/js/src/application.js:125:7:125:13"
"$('.highlight')","file:///opt/src/docs/assets/js/src/application.js:135:5:135:19"
"$(this)","file:///opt/src/docs/assets/js/src/application.js:137:7:137:13"
