"plugin","URL for plugin"
"functio ...  })\n  }","file:///opt/src/js/affix.js:119:3:128:3"
"$.fn.affix","file:///opt/src/js/affix.js:130:13:130:22"
"functio ...  })\n  }","file:///opt/src/js/alert.js:64:3:72:3"
"$.fn.alert","file:///opt/src/js/alert.js:74:13:74:22"
"functio ...  })\n  }","file:///opt/src/js/button.js:78:3:89:3"
"$.fn.button","file:///opt/src/js/button.js:91:13:91:23"
"functio ...  })\n  }","file:///opt/src/js/carousel.js:176:3:188:3"
"$.fn.carousel","file:///opt/src/js/carousel.js:190:13:190:25"
"functio ...  })\n  }","file:///opt/src/js/collapse.js:170:3:180:3"
"$.fn.collapse","file:///opt/src/js/collapse.js:182:13:182:25"
"functio ...  })\n  }","file:///opt/src/js/dropdown.js:130:3:138:3"
"$.fn.dropdown","file:///opt/src/js/dropdown.js:140:13:140:25"
"functio ...  })\n  }","file:///opt/src/js/modal.js:292:3:302:3"
"$.fn.modal","file:///opt/src/js/modal.js:304:13:304:22"
"functio ...  })\n  }","file:///opt/src/js/popover.js:82:3:92:3"
"$.fn.popover","file:///opt/src/js/popover.js:94:13:94:24"
"functio ...  })\n  }","file:///opt/src/js/scrollspy.js:136:3:145:3"
"$.fn.scrollspy","file:///opt/src/js/scrollspy.js:147:13:147:26"
"functio ...  })\n  }","file:///opt/src/js/tab.js:118:3:126:3"
"$.fn.tab","file:///opt/src/js/tab.js:128:13:128:20"
"functio ...       }","file:///opt/src/js/tests/index.html:47:30:49:11"
"$.fn.af ... flict()","file:///opt/src/js/tests/unit/affix.js:14:29:14:51"
"$.fn.bootstrapAffix","file:///opt/src/js/tests/unit/affix.js:17:20:17:38"
"$.fn.al ... flict()","file:///opt/src/js/tests/unit/alert.js:14:29:14:51"
"$.fn.bootstrapAlert","file:///opt/src/js/tests/unit/alert.js:17:20:17:38"
"$.fn.bu ... flict()","file:///opt/src/js/tests/unit/button.js:14:30:14:53"
"$.fn.bootstrapButton","file:///opt/src/js/tests/unit/button.js:17:21:17:40"
"$.fn.ca ... flict()","file:///opt/src/js/tests/unit/carousel.js:14:32:14:57"
"$.fn.bo ... arousel","file:///opt/src/js/tests/unit/carousel.js:17:23:17:44"
"$.fn.co ... flict()","file:///opt/src/js/tests/unit/collapse.js:14:32:14:57"
"$.fn.bo ... ollapse","file:///opt/src/js/tests/unit/collapse.js:17:23:17:44"
"$.fn.dr ... flict()","file:///opt/src/js/tests/unit/dropdown.js:14:32:14:57"
"$.fn.bo ... ropdown","file:///opt/src/js/tests/unit/dropdown.js:17:23:17:44"
"$.fn.mo ... flict()","file:///opt/src/js/tests/unit/modal.js:14:29:14:51"
"$.fn.bootstrapModal","file:///opt/src/js/tests/unit/modal.js:17:20:17:38"
"$.fn.po ... flict()","file:///opt/src/js/tests/unit/popover.js:14:31:14:55"
"$.fn.bo ... Popover","file:///opt/src/js/tests/unit/popover.js:17:22:17:42"
"$.fn.sc ... flict()","file:///opt/src/js/tests/unit/scrollspy.js:14:33:14:59"
"$.fn.bo ... rollspy","file:///opt/src/js/tests/unit/scrollspy.js:17:24:17:46"
"$.fn.ta ... flict()","file:///opt/src/js/tests/unit/tab.js:14:27:14:47"
"$.fn.bootstrapTab","file:///opt/src/js/tests/unit/tab.js:17:18:17:34"
"$.fn.to ... flict()","file:///opt/src/js/tests/unit/tooltip.js:14:31:14:55"
"$.fn.bo ... Tooltip","file:///opt/src/js/tests/unit/tooltip.js:17:22:17:42"
"functio ...  })\n  }","file:///opt/src/js/tooltip.js:494:3:504:3"
"$.fn.tooltip","file:///opt/src/js/tooltip.js:506:13:506:24"
"functio ... his\n  }","file:///opt/src/js/transition.js:36:31:43:3"
